CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,loyer_pr_dit_en_euros_par_m_,nom_com,code_dep
22107,Bon Repos sur Blavet,22,2017,carte loyer,107,22107,"48.223996028900316, -3.123601388977203",7.595736608,Bon Repos sur Blavet,22
22108,Lanleff,22,2017,carte loyer,108,22108,"48.69305673767193, -3.04636642694735",6.055196611,Lanleff,22
22108,Lanleff,22,2017,carte loyer,108,22108,"48.69305673767193, -3.04636642694735",7.394885937,Lanleff,22
22109,Lanloup,22,2017,carte loyer,109,22109,"48.70966609506934, -2.968620705247752",7.570352542,Lanloup,22
22109,Lanloup,22,2017,carte loyer,109,22109,"48.70966609506934, -2.968620705247752",7.959488257,Lanloup,22
22110,Lanmérin,22,2017,carte loyer,110,22110,"48.7398955196288, -3.3575391923189737",6.189313301,Lanmérin,22
22110,Lanmérin,22,2017,carte loyer,110,22110,"48.7398955196288, -3.3575391923189737",7.813625442,Lanmérin,22
22111,Lanmodez,22,2017,carte loyer,111,22111,"48.8454616685329, -3.09657660537169",6.190358488,Lanmodez,22
22111,Lanmodez,22,2017,carte loyer,111,22111,"48.8454616685329, -3.09657660537169",7.959488257,Lanmodez,22
22112,Lannebert,22,2017,carte loyer,112,22112,"48.65055054470595, -3.0090952031802667",6.405865689,Lannebert,22
22112,Lannebert,22,2017,carte loyer,112,22112,"48.65055054470595, -3.0090952031802667",7.394885937,Lannebert,22
22113,Lannion,22,2017,carte loyer,113,22113,"48.74372057592956, -3.4613016821377243",7.161259654,Lannion,22
22113,Lannion,22,2017,carte loyer,113,22113,"48.74372057592956, -3.4613016821377243",8.898073194,Lannion,22
22114,Lanrelas,22,2017,carte loyer,114,22114,"48.24615812698913, -2.295194979345555",5.587855667,Lanrelas,22
22114,Lanrelas,22,2017,carte loyer,114,22114,"48.24615812698913, -2.295194979345555",6.787694606,Lanrelas,22
22115,Lanrivain,22,2017,carte loyer,115,22115,"48.359078803487385, -3.215236306567682",5.103315445,Lanrivain,22
22115,Lanrivain,22,2017,carte loyer,115,22115,"48.359078803487385, -3.215236306567682",7.059937795,Lanrivain,22
22116,Lanrodec,22,2017,carte loyer,116,22116,"48.49956508747752, -3.0433156865257875",6.37871584,Lanrodec,22
22116,Lanrodec,22,2017,carte loyer,116,22116,"48.49956508747752, -3.0433156865257875",8.186327117,Lanrodec,22
22117,Lantic,22,2017,carte loyer,117,22117,"48.604206339182014, -2.8988006689345998",7.174091076,Lantic,22
22117,Lantic,22,2017,carte loyer,117,22117,"48.604206339182014, -2.8988006689345998",8.186327117,Lantic,22
22118,Lanvallay,22,2017,carte loyer,118,22118,"48.451577637530804, -2.0114884585409434",7.239032797,Lanvallay,22
22118,Lanvallay,22,2017,carte loyer,118,22118,"48.451577637530804, -2.0114884585409434",8.94844321,Lanvallay,22
22119,Lanvellec,22,2017,carte loyer,119,22119,"48.60676786917297, -3.527901691489259",6.238420359,Lanvellec,22
22119,Lanvellec,22,2017,carte loyer,119,22119,"48.60676786917297, -3.527901691489259",7.813625442,Lanvellec,22
22121,Lanvollon,22,2017,carte loyer,121,22121,"48.63350892357017, -2.9901564356599057",6.353367662,Lanvollon,22
22121,Lanvollon,22,2017,carte loyer,121,22121,"48.63350892357017, -2.9901564356599057",7.9954426,Lanvollon,22
22122,Laurenan,22,2017,carte loyer,122,22122,"48.215038335689826, -2.5190952972110403",5.520112257,Laurenan,22
22122,Laurenan,22,2017,carte loyer,122,22122,"48.215038335689826, -2.5190952972110403",7.16132059,Laurenan,22
22124,Lescouët-Gouarec,22,2017,carte loyer,124,22124,"48.169286969951244, -3.206382639399914",5.800613759,Lescouët-Gouarec,22
22124,Lescouët-Gouarec,22,2017,carte loyer,124,22124,"48.169286969951244, -3.206382639399914",7.595736608,Lescouët-Gouarec,22
22126,Le Leslay,22,2017,carte loyer,126,22126,"48.423990652869634, -2.965116944345763",6.37871584,Le Leslay,22
22126,Le Leslay,22,2017,carte loyer,126,22126,"48.423990652869634, -2.965116944345763",8.186327117,Le Leslay,22
22127,Lézardrieux,22,2017,carte loyer,127,22127,"48.80343680465705, -3.109062725836568",6.190358488,Lézardrieux,22
22127,Lézardrieux,22,2017,carte loyer,127,22127,"48.80343680465705, -3.109062725836568",7.959488257,Lézardrieux,22
22128,Locarn,22,2017,carte loyer,128,22128,"48.332427425246884, -3.409970759309314",5.430648822,Locarn,22
22128,Locarn,22,2017,carte loyer,128,22128,"48.332427425246884, -3.409970759309314",7.059937795,Locarn,22
22129,Loc-Envel,22,2017,carte loyer,129,22129,"48.509790586279045, -3.4097689488209104",5.430648822,Loc-Envel,22
22129,Loc-Envel,22,2017,carte loyer,129,22129,"48.509790586279045, -3.4097689488209104",6.140839653,Loc-Envel,22
22131,Loguivy-Plougras,22,2017,carte loyer,131,22131,"48.510492935904004, -3.4917280120826337",5.430648822,Loguivy-Plougras,22
22131,Loguivy-Plougras,22,2017,carte loyer,131,22131,"48.510492935904004, -3.4917280120826337",6.140839653,Loguivy-Plougras,22
